,Date,day,month,year,cases,deaths,Country,Population,Continent,CFR
4603,2020-04-28,28,4,2020,1,0,French_Polynesia,277679.0,Oceania,0.0
7497,2020-04-28,28,4,2020,0,0,Liechtenstein,37910.0,Europe,
6875,2020-04-28,28,4,2020,2,0,Jordan,9956011.0,Asia,0.0
110,2020-04-28,28,4,2020,10,0,Albania,2866376.0,Europe,0.0
6967,2020-04-28,28,4,2020,8,0,Kenya,51393010.0,Africa,0.0
7174,2020-04-28,28,4,2020,13,0,Kyrgyzstan,6315800.0,Asia,0.0
7215,2020-04-28,28,4,2020,0,0,Laos,7061507.0,Asia,
7303,2020-04-28,28,4,2020,3,0,Lebanon,6848925.0,Asia,0.0
7462,2020-04-28,28,4,2020,0,0,Libya,6678567.0,Africa,
7546,2020-04-28,28,4,2020,0,0,Lithuania,2789533.0,Europe,
4644,2020-04-28,28,4,2020,35,0,Gabon,2119275.0,Africa,0.0
7657,2020-04-28,28,4,2020,6,0,Luxembourg,607728.0,Europe,0.0
7770,2020-04-28,28,4,2020,4,0,Madagascar,26262368.0,Africa,0.0
7809,2020-04-28,28,4,2020,2,0,Malawi,18143315.0,Africa,0.0
7954,2020-04-28,28,4,2020,0,0,Maldives,515696.0,Asia,
8004,2020-04-28,28,4,2020,19,0,Mali,19077690.0,Africa,0.0
8038,2020-04-28,28,4,2020,2,0,Malta,483530.0,Europe,0.0
8088,2020-04-28,28,4,2020,0,0,Mauritania,4403319.0,Africa,
6835,2020-04-28,28,4,2020,2,0,Jersey,106800.0,Europe,0.0
6668,2020-04-28,28,4,2020,14,0,Jamaica,2934855.0,America,0.0
6392,2020-04-28,28,4,2020,0,0,Isle_of_Man,84077.0,Europe,
5684,2020-04-28,28,4,2020,0,0,Iceland,353574.0,Europe,
4690,2020-04-28,28,4,2020,0,0,Gambia,2280102.0,Africa,
4732,2020-04-28,28,4,2020,11,0,Georgia,3731000.0,Europe,0.0
4969,2020-04-28,28,4,2020,0,0,Ghana,29767108.0,Africa,
5015,2020-04-28,28,4,2020,0,0,Gibraltar,33718.0,Europe,
5173,2020-04-28,28,4,2020,0,0,Greenland,56025.0,America,
5213,2020-04-28,28,4,2020,0,0,Grenada,111454.0,America,
5250,2020-04-28,28,4,2020,2,0,Guam,165768.0,Oceania,0.0
5291,2020-04-28,28,4,2020,30,0,Guatemala,17247807.0,America,0.0
5336,2020-04-28,28,4,2020,0,0,Guernsey,63026.0,Europe,
5376,2020-04-28,28,4,2020,69,0,Guinea,12414318.0,Africa,0.0
5421,2020-04-28,28,4,2020,20,0,Guinea_Bissau,1874309.0,Africa,0.0
5454,2020-04-28,28,4,2020,0,0,Guyana,779004.0,America,
5499,2020-04-28,28,4,2020,4,0,Haiti,11123176.0,America,0.0
5539,2020-04-28,28,4,2020,0,0,Holy_See,1000.0,Europe,
5584,2020-04-28,28,4,2020,32,0,Honduras,9587522.0,America,0.0
13584,2020-04-28,28,4,2020,1,0,Zimbabwe,14439018.0,Africa,0.0
